zbior,topologia,sasiedztwo,siatka,epoki,sigma,alpha0,lambda,seed,blad_kwantyzacji,klasy_rzeczywiste,klastry_na_mapie,zgodna_liczba_klastrow,aktywne_neurony,neurony_jednoklasowe,wszystkie_neurony_jednoklasowe,srednia_czystosc,min_czystosc
mnist,rectangular,gaussian,8x8,10,0.9,0.3,9000.0,42,19.2063,10,20,False,64,4,False,0.670392,0.277778
mnist,rectangular,gaussian,8x8,10,1.2,0.3,9000.0,42,19.855672,10,15,False,64,5,False,0.672375,0.272727
mnist,rectangular,gaussian,8x8,10,1.7,0.3,9000.0,42,20.551726,10,19,False,64,0,False,0.577046,0.214286
mnist,rectangular,gaussian,8x8,10,2.3,0.3,9000.0,42,21.17711,10,27,False,64,6,False,0.546857,0.266667
mnist,rectangular,gaussian,10x10,10,0.9,0.3,9000.0,42,18.496035,10,25,False,96,17,False,0.732506,0.333333
mnist,rectangular,gaussian,10x10,10,1.2,0.3,9000.0,42,19.163568,10,21,False,100,12,False,0.679833,0.25
mnist,rectangular,gaussian,10x10,10,1.7,0.3,9000.0,42,20.044775,10,30,False,98,9,False,0.635385,0.25
mnist,rectangular,gaussian,10x10,10,2.3,0.3,9000.0,42,20.675282,10,40,False,95,16,False,0.616474,0.227273
mnist,rectangular,gaussian,12x8,10,0.9,0.3,9000.0,42,18.588485,10,28,False,95,20,False,0.752025,0.3
mnist,rectangular,gaussian,12x8,10,1.2,0.3,9000.0,42,19.211592,10,23,False,96,14,False,0.694042,0.25
mnist,rectangular,gaussian,12x8,10,1.7,0.3,9000.0,42,20.078464,10,24,False,93,14,False,0.673792,0.238095
mnist,rectangular,gaussian,12x8,10,2.3,0.3,9000.0,42,20.704464,10,39,False,96,9,False,0.611635,0.257143
mnist,hexagonal,gaussian,8x8,10,0.9,0.3,9000.0,42,19.276843,10,20,False,64,4,False,0.653666,0.285714
mnist,hexagonal,gaussian,8x8,10,1.2,0.3,9000.0,42,19.805498,10,17,False,64,0,False,0.626814,0.266667
mnist,hexagonal,gaussian,8x8,10,1.7,0.3,9000.0,42,20.569537,10,18,False,64,1,False,0.54604,0.222222
mnist,hexagonal,gaussian,8x8,10,2.3,0.3,9000.0,42,21.104584,10,22,False,64,2,False,0.50528,0.266667
mnist,hexagonal,gaussian,10x10,10,0.9,0.3,9000.0,42,18.550911,10,25,False,99,20,False,0.741686,0.285714
mnist,hexagonal,gaussian,10x10,10,1.2,0.3,9000.0,42,19.145545,10,22,False,100,17,False,0.720858,0.222222
mnist,hexagonal,gaussian,10x10,10,1.7,0.3,9000.0,42,20.000376,10,21,False,98,11,False,0.701889,0.263158
mnist,hexagonal,gaussian,10x10,10,2.3,0.3,9000.0,42,20.684362,10,25,False,99,11,False,0.626513,0.321429
mnist,hexagonal,gaussian,12x8,10,0.9,0.3,9000.0,42,18.582153,10,21,False,95,24,False,0.747094,0.25
mnist,hexagonal,gaussian,12x8,10,1.2,0.3,9000.0,42,19.250763,10,23,False,96,18,False,0.687665,0.25
mnist,hexagonal,gaussian,12x8,10,1.7,0.3,9000.0,42,20.035668,10,18,False,94,12,False,0.665705,0.25
mnist,hexagonal,gaussian,12x8,10,2.3,0.3,9000.0,42,20.723591,10,29,False,94,14,False,0.624722,0.25
har,rectangular,gaussian,6x6,12,0.9,0.32,9000.0,42,14.143335,6,9,False,34,4,False,0.697435,0.375
har,rectangular,gaussian,6x6,12,1.3,0.32,9000.0,42,14.645436,6,9,False,33,3,False,0.696352,0.419355
har,rectangular,gaussian,6x6,12,1.7,0.32,9000.0,42,15.086194,6,9,False,31,5,False,0.72295,0.460177
har,rectangular,gaussian,6x6,12,2.2,0.32,9000.0,42,15.655404,6,9,False,28,6,False,0.701195,0.344828
har,rectangular,gaussian,7x7,12,0.9,0.32,9000.0,42,13.805225,6,10,False,47,5,False,0.75789,0.481481
har,rectangular,gaussian,7x7,12,1.3,0.32,9000.0,42,14.352145,6,8,False,45,7,False,0.726843,0.375
har,rectangular,gaussian,7x7,12,1.7,0.32,9000.0,42,14.766013,6,9,False,43,7,False,0.738318,0.4
har,rectangular,gaussian,7x7,12,2.2,0.32,9000.0,42,15.219427,6,10,False,38,5,False,0.706386,0.423077
har,rectangular,gaussian,8x8,12,0.9,0.32,9000.0,42,13.523746,6,16,False,62,13,False,0.769991,0.4375
har,rectangular,gaussian,8x8,12,1.3,0.32,9000.0,42,14.152078,6,12,False,59,7,False,0.747882,0.363636
har,rectangular,gaussian,8x8,12,1.7,0.32,9000.0,42,14.497688,6,11,False,56,8,False,0.708104,0.375
har,rectangular,gaussian,8x8,12,2.2,0.32,9000.0,42,14.888334,6,11,False,51,7,False,0.735027,0.368421
har,hexagonal,gaussian,6x6,12,0.9,0.32,9000.0,42,14.218207,6,8,False,36,3,False,0.690119,0.413793
har,hexagonal,gaussian,6x6,12,1.3,0.32,9000.0,42,14.622726,6,8,False,33,3,False,0.691486,0.4
har,hexagonal,gaussian,6x6,12,1.7,0.32,9000.0,42,15.082288,6,10,False,34,5,False,0.718354,0.416667
har,hexagonal,gaussian,6x6,12,2.2,0.32,9000.0,42,15.515772,6,10,False,32,1,False,0.609611,0.333333
har,hexagonal,gaussian,7x7,12,0.9,0.32,9000.0,42,13.776775,6,8,False,47,6,False,0.781373,0.466667
har,hexagonal,gaussian,7x7,12,1.3,0.32,9000.0,42,14.308549,6,9,False,47,3,False,0.719983,0.444444
har,hexagonal,gaussian,7x7,12,1.7,0.32,9000.0,42,14.717752,6,12,False,46,7,False,0.718892,0.4
har,hexagonal,gaussian,7x7,12,2.2,0.32,9000.0,42,15.185717,6,11,False,42,5,False,0.699477,0.4
har,hexagonal,gaussian,8x8,12,0.9,0.32,9000.0,42,13.533223,6,8,False,62,11,False,0.762216,0.333333
har,hexagonal,gaussian,8x8,12,1.3,0.32,9000.0,42,14.04292,6,9,False,62,9,False,0.744343,0.413793
har,hexagonal,gaussian,8x8,12,1.7,0.32,9000.0,42,14.45645,6,11,False,61,9,False,0.744205,0.410256
har,hexagonal,gaussian,8x8,12,2.2,0.32,9000.0,42,14.874929,6,14,False,57,7,False,0.69677,0.333333
