zbior,topologia,sasiedztwo,siatka,epoki,sigma,alpha0,lambda,seed,blad_kwantyzacji,klasy_rzeczywiste,klastry_na_mapie,zgodna_liczba_klastrow,aktywne_neurony,neurony_jednoklasowe,wszystkie_neurony_jednoklasowe,srednia_czystosc,min_czystosc
mnist,rectangular,mexican_hat,8x8,10,0.5,0.03,9000.0,42,19.945336,10,15,False,17,4,False,0.681884,0.25
mnist,rectangular,mexican_hat,8x8,10,0.5,0.05,9000.0,42,19.710692,10,15,False,15,1,False,0.646472,0.294118
mnist,rectangular,mexican_hat,8x8,10,0.5,0.08,9000.0,42,19.994731,10,13,False,13,0,False,0.621676,0.330435
mnist,rectangular,mexican_hat,8x8,10,0.7,0.03,9000.0,42,20.758037,10,10,True,10,3,False,0.635326,0.241573
mnist,rectangular,mexican_hat,8x8,10,0.7,0.05,9000.0,42,21.229746,10,8,False,8,2,False,0.673981,0.298283
mnist,rectangular,mexican_hat,8x8,10,0.7,0.08,9000.0,42,21.130838,10,7,False,7,1,False,0.576452,0.325373
mnist,rectangular,mexican_hat,8x8,10,0.9,0.03,9000.0,42,21.506581,10,4,False,4,0,False,0.398465,0.279208
mnist,rectangular,mexican_hat,8x8,10,0.9,0.05,9000.0,42,21.559941,10,4,False,4,0,False,0.412599,0.289528
mnist,rectangular,mexican_hat,8x8,10,0.9,0.08,9000.0,42,21.616525,10,4,False,4,0,False,0.39678,0.267045
mnist,rectangular,mexican_hat,8x8,10,1.1,0.03,9000.0,42,20.570538,10,8,False,8,0,False,0.517861,0.27
mnist,rectangular,mexican_hat,8x8,10,1.1,0.05,9000.0,42,20.92344,10,6,False,6,0,False,0.49275,0.258333
mnist,rectangular,mexican_hat,8x8,10,1.1,0.08,9000.0,42,21.041326,10,6,False,6,0,False,0.457258,0.224265
mnist,rectangular,mexican_hat,10x10,10,0.5,0.03,9000.0,42,19.439464,10,25,False,25,6,False,0.736125,0.331034
mnist,rectangular,mexican_hat,10x10,10,0.5,0.05,9000.0,42,19.215622,10,26,False,26,8,False,0.782799,0.3125
mnist,rectangular,mexican_hat,10x10,10,0.5,0.08,9000.0,42,19.352964,10,23,False,23,5,False,0.726767,0.310976
mnist,rectangular,mexican_hat,10x10,10,0.7,0.03,9000.0,42,20.307834,10,15,False,15,5,False,0.699149,0.294479
mnist,rectangular,mexican_hat,10x10,10,0.7,0.05,9000.0,42,20.008834,10,14,False,14,2,False,0.668989,0.318436
mnist,rectangular,mexican_hat,10x10,10,0.7,0.08,9000.0,42,20.327391,10,12,False,12,2,False,0.607979,0.388889
mnist,rectangular,mexican_hat,10x10,10,0.9,0.03,9000.0,42,20.584424,10,8,False,8,1,False,0.574493,0.268293
mnist,rectangular,mexican_hat,10x10,10,0.9,0.05,9000.0,42,20.731874,10,12,False,12,5,False,0.708264,0.258772
mnist,rectangular,mexican_hat,10x10,10,0.9,0.08,9000.0,42,20.629066,10,8,False,8,0,False,0.517812,0.3125
mnist,rectangular,mexican_hat,10x10,10,1.1,0.03,9000.0,42,20.345544,10,14,False,14,5,False,0.717521,0.355705
mnist,rectangular,mexican_hat,10x10,10,1.1,0.05,9000.0,42,20.114269,10,10,True,11,0,False,0.565844,0.263158
mnist,rectangular,mexican_hat,10x10,10,1.1,0.08,9000.0,42,20.247866,10,12,False,13,3,False,0.685653,0.256757
mnist,rectangular,mexican_hat,12x8,10,0.5,0.03,9000.0,42,19.382524,10,24,False,24,5,False,0.755061,0.45
mnist,rectangular,mexican_hat,12x8,10,0.5,0.05,9000.0,42,19.271634,10,21,False,21,3,False,0.701367,0.3125
mnist,rectangular,mexican_hat,12x8,10,0.5,0.08,9000.0,42,19.388311,10,20,False,20,2,False,0.692565,0.310606
mnist,rectangular,mexican_hat,12x8,10,0.7,0.03,9000.0,42,20.164978,10,13,False,13,1,False,0.664477,0.31383
mnist,rectangular,mexican_hat,12x8,10,0.7,0.05,9000.0,42,20.281901,10,12,False,12,2,False,0.615082,0.268657
mnist,rectangular,mexican_hat,12x8,10,0.7,0.08,9000.0,42,20.341757,10,10,True,10,0,False,0.61441,0.278351
mnist,rectangular,mexican_hat,12x8,10,0.9,0.03,9000.0,42,20.751298,10,8,False,8,1,False,0.572432,0.267516
mnist,rectangular,mexican_hat,12x8,10,0.9,0.05,9000.0,42,20.844595,10,8,False,8,1,False,0.56047,0.248756
mnist,rectangular,mexican_hat,12x8,10,0.9,0.08,9000.0,42,20.814451,10,8,False,8,1,False,0.623785,0.234818
mnist,rectangular,mexican_hat,12x8,10,1.1,0.03,9000.0,42,20.683635,10,12,False,12,4,False,0.67745,0.275168
mnist,rectangular,mexican_hat,12x8,10,1.1,0.05,9000.0,42,20.208166,10,12,False,12,2,False,0.62253,0.296296
mnist,rectangular,mexican_hat,12x8,10,1.1,0.08,9000.0,42,20.271462,10,10,True,11,1,False,0.622515,0.272727
mnist,hexagonal,mexican_hat,8x8,10,0.5,0.03,9000.0,42,19.754031,10,16,False,18,4,False,0.710617,0.275591
mnist,hexagonal,mexican_hat,8x8,10,0.5,0.05,9000.0,42,19.607755,10,15,False,15,0,False,0.610543,0.3125
mnist,hexagonal,mexican_hat,8x8,10,0.5,0.08,9000.0,42,19.813561,10,15,False,15,1,False,0.655511,0.327957
mnist,hexagonal,mexican_hat,8x8,10,0.7,0.03,9000.0,42,20.830575,10,9,False,10,3,False,0.703353,0.255319
mnist,hexagonal,mexican_hat,8x8,10,0.7,0.05,9000.0,42,20.856543,10,9,False,9,3,False,0.671605,0.260684
mnist,hexagonal,mexican_hat,8x8,10,0.7,0.08,9000.0,42,20.726038,10,10,True,10,2,False,0.638276,0.268519
mnist,hexagonal,mexican_hat,8x8,10,0.9,0.03,9000.0,42,21.433735,10,8,False,10,4,False,0.679188,0.272727
mnist,hexagonal,mexican_hat,8x8,10,0.9,0.05,9000.0,42,21.205173,10,6,False,6,0,False,0.505708,0.232283
mnist,hexagonal,mexican_hat,8x8,10,0.9,0.08,9000.0,42,21.320964,10,5,False,5,0,False,0.489293,0.321267
mnist,hexagonal,mexican_hat,8x8,10,1.1,0.03,9000.0,42,20.129322,10,10,True,12,0,False,0.580421,0.222222
mnist,hexagonal,mexican_hat,8x8,10,1.1,0.05,9000.0,42,20.483473,10,10,True,10,1,False,0.594672,0.307018
